Header Size:	 79	 	 
Pulse Version:	 80	 	 
Running Pulse Version:	PULSE LabShop v. 14.1.1.41 - 2010-02-12	 	 
Decimal Symbol:	.	 	 
Date Format:	yyyy/M/d	 	 
Time Format:	HH:mm:ss:mmm	 	 
Data Type:	Complex	 	 
Slice:	False	 	 
Z-Axis type:	Linear	 	 
Z-Axis size:	1	 	 
Z-Axis unit:	 	 	 
Z-Axis first value:	 0.0000000000e+000	 	 
Z-Axis delta:	 1.0000000000e+000	 	 
X-Axis type:	Linear	 	 
X-Axis size:	16384	 	 
X-Axis unit:	s	 	 
X-Axis first value:	 0.0000000000e+000	 	 
X-Axis delta:	 1.9531250000e-005	 	 
	 	 	 
AmplitudeUnit:	Pa/Pa/s	 	 
Analyzer:	FFT_Spectrum_Averaging	 	 
AnalyzerName:	FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
CenterFrequency:	 1.0000000000e+004	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
dBReference:	 1.0000000000e+000	 	 
	 	 	 
	 	 	 
	 	 	 
Domain:	0	 	 
Function:	Impulse Response	 	 
	 	 	 
InputRange:	 7.0711000000e+000	 	 
	 	 	 
	 	 	 
MultiBufferName:	Input	 	 
NBW:	 1.5000000000e+000	 	 
	 	 	 
OverlapFailed:	False	 	 
Overrun:	False	 	 
Power:	False	 	 
	 	 	 
Ratio:	True	 	 
RecordLength:	 3.2000000000e-001	 	 
	 	 	 
Ref_Signal:	Signal 2	 	 
	 	 	 
	 	 	 
RefSignalUnit:	Pa	 	 
	 	 	 
	 	 	 
Signal:	Signal 3	 	 
	 	 	 
SignalUnit:	Pa	 	 
	 	 	 
	 	 	 
	 	 	 
Title:	Impulse Response h1(Signal 3,Signal 2) - Input	 	 
Title1:	Working : Input : Input : FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
ZoomOn:	False	 	 
	 	 	 
TemplateName:	Working	 	 
MeasurementName:	Input	 	 
MeasurementSlice:	False	 	 
	 	 	 
	 	 	 
	 	 	 
EnvelopeOn:	False	 	 
	 	 	 
	 	 	 
	 	 	 
Z-index:	 	1	 
Date:	 	2019/9/21	 
Time:	 	14:36:36:455	 
Relative time:	 	 0.00000e+000	 
Z-axis:	 	 0.0000000000e+000	 
1	 0.0000000000e+000	 2.06574e-001	 2.64816e-001
2	 1.9531250000e-005	-1.56580e-001	 7.76227e-002
3	 3.9062500000e-005	 7.17412e-002	-1.71048e-001
4	 5.8593750000e-005	 2.05364e-001	 6.13638e-002
5	 7.8125000000e-005	 2.92284e-002	 7.29131e-003
6	 9.7656250000e-005	 1.88314e-001	-5.00636e-002
7	 1.1718750000e-004	 2.33538e-001	-3.43880e-003
8	 1.3671875000e-004	 3.10084e-001	 1.92814e-001
9	 1.5625000000e-004	 6.19249e-002	 1.72332e-001
10	 1.7578125000e-004	 2.35150e-001	 1.58737e-001
11	 1.9531250000e-004	-2.86253e-002	 2.63415e-001
12	 2.1484375000e-004	 6.10281e-002	-1.17949e-002
13	 2.3437500000e-004	 1.79678e-001	 1.18814e-001
14	 2.5390625000e-004	 1.50909e-001	 1.83472e-001
15	 2.7343750000e-004	 4.76568e-002	 1.96438e-001
16	 2.9296875000e-004	 6.48325e-002	 1.18227e-001
17	 3.1250000000e-004	 9.66169e-002	 1.32415e-001
18	 3.3203125000e-004	 7.12686e-002	 1.95300e-001
19	 3.5156250000e-004	-2.05752e-003	 8.76188e-002
20	 3.7109375000e-004	 1.16501e-001	 1.03925e-001
21	 3.9062500000e-004	 6.74423e-002	 6.62715e-002
22	 4.1015625000e-004	 2.52076e-001	 1.29069e-001
23	 4.2968750000e-004	 1.37833e-001	 3.15039e-001
24	 4.4921875000e-004	-5.23921e-002	 3.12857e-001
25	 4.6875000000e-004	-6.89339e-002	 4.61819e-002
26	 4.8828125000e-004	 9.79202e-002	 2.29143e-001
27	 5.0781250000e-004	-1.56200e-001	 4.43308e-002
28	 5.2734375000e-004	 2.16124e-001	 8.00492e-002
29	 5.4687500000e-004	-8.67397e-002	 1.92497e-001
30	 5.6640625000e-004	 1.17630e-001	 4.73730e-002
31	 5.8593750000e-004	-4.24842e-002	 1.62442e-001
32	 6.0546875000e-004	 1.18613e-001	 2.28499e-002
33	 6.2500000000e-004	 5.79597e-002	 1.73854e-001
34	 6.4453125000e-004	 1.06058e-001	 1.82245e-001
35	 6.6406250000e-004	-1.67193e-001	 2.07151e-001
36	 6.8359375000e-004	-6.28322e-003	-1.09905e-001
37	 7.0312500000e-004	 1.45709e-001	 3.30873e-002
38	 7.2265625000e-004	 1.66267e-001	 1.52433e-001
39	 7.4218750000e-004	-2.60162e-002	 1.28303e-001
40	 7.6171875000e-004	 1.97043e-001	 6.07965e-002
41	 7.8125000000e-004	 2.44252e-002	 2.77545e-001
42	 8.0078125000e-004	-2.58502e-003	 1.11180e-001
43	 8.2031250000e-004	-4.60094e-002	 1.29271e-001
44	 8.3984375000e-004	 8.84609e-003	 4.59662e-002
45	 8.5937500000e-004	-4.90741e-002	-1.72497e-002
46	 8.7890625000e-004	 2.59450e-001	-6.58627e-002
47	 8.9843750000e-004	 1.36244e-001	 2.55600e-001
48	 9.1796875000e-004	 3.93248e-003	 1.12535e-001
49	 9.3750000000e-004	 6.91974e-003	-3.39046e-003
50	 9.5703125000e-004	 2.87248e-001	 1.24454e-002
51	 9.7656250000e-004	 9.43418e-002	 2.63211e-001
52	 9.9609375000e-004	 1.13588e-001	 5.09000e-002
53	 1.0156250000e-003	 1.44968e-001	 2.04981e-001
54	 1.0351562500e-003	 1.23810e-001	 1.54751e-001
55	 1.0546875000e-003	 9.00678e-002	 2.63421e-001
56	 1.0742187500e-003	-2.94491e-002	 2.23501e-001
57	 1.0937500000e-003	-9.13726e-002	 3.34934e-002
58	 1.1132812500e-003	 2.26434e-001	-1.21498e-002
59	 1.1328125000e-003	 1.56440e-001	 2.62371e-001
60	 1.1523437500e-003	 5.22347e-002	 2.30138e-001
61	 1.1718750000e-003	-5.89042e-002	 1.14800e-001
62	 1.1914062500e-003	 2.47668e-001	 6.28735e-002
63	 1.2109375000e-003	 7.63271e-002	 4.05368e-001
64	 1.2304687500e-003	-8.99111e-002	 2.23306e-001
65	 1.2500000000e-003	-1.49121e-001	 1.37007e-001
66	 1.2695312500e-003	 2.73898e-002	-2.69130e-002
67	 1.2890625000e-003	 2.16264e-002	 1.22560e-001
68	 1.3085937500e-003	 8.27176e-002	-2.46812e-003
69	 1.3281250000e-003	 8.17096e-002	 1.36434e-001
70	 1.3476562500e-003	 1.28498e-001	-1.82849e-002
71	 1.3671875000e-003	 2.86051e-001	 1.97997e-001
72	 1.3867187500e-003	 1.04490e-001	 3.24190e-001
73	 1.4062500000e-003	-3.55762e-002	 2.09964e-001
74	 1.4257812500e-003	 1.24772e-001	 1.19411e-001
75	 1.4453125000e-003	 1.04283e-001	 3.27027e-001
76	 1.4648437500e-003	-6.61306e-002	 2.90874e-001
77	 1.4843750000e-003	-8.89806e-002	 1.63505e-001
78	 1.5039062500e-003	-3.90601e-003	 1.89654e-001
79	 1.5234375000e-003	-1.47515e-001	 1.58314e-001
80	 1.5429687500e-003	-3.03457e-002	 5.24904e-002
81	 1.5625000000e-003	-9.35177e-002	 5.30642e-002
82	 1.5820312500e-003	 9.13135e-002	-6.82509e-002
83	 1.6015625000e-003	 1.50431e-001	 8.35850e-002
84	 1.6210937500e-003	 1.87565e-001	 1.58213e-001
85	 1.6406250000e-003	 6.05021e-002	 2.22063e-001
86	 1.6601562500e-003	 1.40421e-001	 2.21709e-001
87	 1.6796875000e-003	-6.88607e-002	 3.28577e-001
88	 1.6992187500e-003	-6.35806e-002	 1.44836e-001
89	 1.7187500000e-003	-1.05089e-001	 1.33387e-001
90	 1.7382812500e-003	 6.37477e-002	 1.60233e-002
91	 1.7578125000e-003	 6.48858e-002	 1.98965e-001
92	 1.7773437500e-003	 4.38683e-002	 1.91234e-001
93	 1.7968750000e-003	-8.50835e-002	 2.28588e-001
94	 1.8164062500e-003	-2.35024e-002	 1.11763e-001
95	 1.8359375000e-003	-1.06981e-001	 1.77521e-001
96	 1.8554687500e-003	-3.71236e-002	 1.70253e-002
97	 1.8750000000e-003	-1.36169e-002	 1.28468e-001
98	 1.8945312500e-003	-5.59205e-002	 5.33445e-002
99	 1.9140625000e-003	 8.89679e-003	-4.62996e-002
100	 1.9335937500e-003	 2.64460e-001	 1.03971e-001
101	 1.9531250000e-003	-3.31680e-002	 3.12298e-001
102	 1.9726562500e-003	-2.08829e-003	 1.12302e-001
103	 1.9921875000e-003	-1.28675e-001	 2.13347e-001
104	 2.0117187500e-003	-6.28223e-002	-6.33315e-002
105	 2.0312500000e-003	 6.07706e-002	 6.19146e-002
106	 2.0507812500e-003	 9.17395e-002	 6.69310e-002
107	 2.0703125000e-003	-2.70176e-003	 1.47893e-001
108	 2.0898437500e-003	 1.08401e-001	 8.98642e-003
109	 2.1093750000e-003	 1.09184e-001	 2.50288e-001
110	 2.1289062500e-003	-1.83921e-002	 1.76055e-001
111	 2.1484375000e-003	-7.81526e-002	 1.67189e-001
112	 2.1679687500e-003	-1.04076e-002	-1.73971e-002
113	 2.1875000000e-003	 1.33140e-001	 1.09968e-001
114	 2.2070312500e-003	 9.20643e-002	 1.98248e-001
115	 2.2265625000e-003	-2.90043e-002	 2.40913e-001
116	 2.2460937500e-003	-3.11214e-002	 1.28251e-001
117	 2.2656250000e-003	-2.85444e-003	 1.81607e-001
118	 2.2851562500e-003	-5.30990e-002	 2.06128e-001
119	 2.3046875000e-003	-1.55405e-001	 1.45697e-001
120	 2.3242187500e-003	-9.92768e-002	 7.08009e-002
121	 2.3437500000e-003	-1.32033e-001	 3.79690e-003
122	 2.3632812500e-003	 5.00313e-002	 1.87455e-002
123	 2.3828125000e-003	-1.47983e-001	 7.94018e-002
124	 2.4023437500e-003	 2.67155e-002	-1.48798e-001
125	 2.4218750000e-003	 8.71861e-002	 3.03754e-002
126	 2.4414062500e-003	 1.19011e-001	-1.51786e-002
127	 2.4609375000e-003	 1.33817e-001	 1.00083e-001
128	 2.4804687500e-003	 1.25421e-001	 1.24779e-001
